number,name,address,phone,phone_raw,map_embed,lat,lng
01,Fungha Dimsum - Nguyễn Công Trứ,"12 Nguyễn Công Trứ, Phạm Đình Hổ, Hai Bà Trưng, Hà Nội",0376.612.212,0376612212,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3724.451768522772!2d105.85807472540226!3d21.014602200973357!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3135ab551f6d7397%3A0xade05ef4ec6ae0f6!2zRnVuZ2hhIERpbXN1bSAtIDEyIE5ndXnhu4VuIEPDtG5nIFRy4bup!5e0!3m2!1svi!2svn!4v1,21.0146,105.8581
02,Fungha Dimsum - Cửa Bắc,"39 Cửa Bắc, Trúc Bạch, Ba Đình, Hà Nội",033.689.1298,0336891298,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3723.754751430048!2d105.84040117540306!3d21.044498300311753!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3135ab6dbfeef981%3A0x807792025b010508!2zRnVuZ2hhIERpbXN1bSAtIEPhu61hIELhuq9j!5e0!3m2!1svi!2svn!4v1,21.0445,105.8404
03,Fungha Dimsum - Vũ Phạm Hàm,"28 Vũ Phạm Hàm, Trung Hoà, Cầu Giấy, Hà Nội",033.689.1298,0336891298,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d119209.0078341522!2d105.7718272!3d20.9813504!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3135ab004e31aa05%3A0xff31bb45baa0bd4!2zRnVuZ2hhIERpbXN1bSAtIDI4IFbFqSBQaOG6oW0gSMOgbQ!5e0!3m2!1sen!2s!4v1772801632295!5m2!1sen!2s,20.9814,105.7718
04,FungHa Dimsum - Hà Đông,"Hà Đông, Hà Nội",033.689.1298,0336891298,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7450.22160673563!2d105.78570491057566!3d20.98819507635142!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x313453d1d7f90701%3A0x4201d7971a211cc1!2zRnVuZ0hhIERpbXN1bSAtIEjDoCDEkMO0bmc!5e0!3m2!1sen!2s!4v1773646470353!5m2!1sen!2s,20.9848,105.7807
05,Fungha Dimsum - Tây Nam Linh Đàm,"Tây Nam Linh Đàm, Hoàng Mai, Hà Nội",033.689.1298,0336891298,https://www.google.com/maps/embed?pb=!1m17!1m12!1m3!1d3725.686905970887!2d105.74241467525482!3d20.96508498066831!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m2!1m1!2zMjDCsDU3JzU0LjMiTiAxMDXCsDQ0JzQyLjAiRQ!5e0!3m2!1svi!2s!4v1773647322965!5m2!1svi!2s,20.965085,105.7449896
