image,alt,title,description,valid_date,conditions
images/Discount1.jpg,Khuyến mãi - Ngày Vía Thần Tài,Mừng Ngày Vía Thần Tài,Nhân ngày Vía Thần Tài - Fungha Dimsum kính chúc quý khách một năm mới Phát Lộc Phát Tài! Đặt bàn trong ngày để nhận ưu đãi đặc biệt từ nhà hàng.,Ngày 10 tháng Giêng Âm lịch,Áp dụng cho tất cả cơ sở. Không áp dụng cùng các chương trình khuyến mãi khác.
images/Discount2.jpg,Khuyến mãi - Mở Bán Xuyên Tết,Mở Bán Xuyên Tết,Fungha Dimsum mở bán xuyên Tết để phục vụ quý khách! Đến và thưởng thức dimsum nóng hổi cùng gia đình trong những ngày đầu năm mới.,Từ 17:00 mùng 2 Tết (18/02 dương lịch). Tự sáng mùng 6 Tết (22/02 dương lịch),Áp dụng tại các cơ sở theo lịch riêng. Xem chi tiết tại poster.
images/Discount3.jpg,Khuyến mãi - Valentine's Day,Valentine's Day Đặc Biệt,Nhân ngày Lễ Tình Nhân 14/02 - Fungha Dimsum dành tặng ưu đãi ngọt ngào cho các cặp đôi! Đặt bàn ngay để có trải nghiệm lãng mạn bên những món dimsum thượng hạng.,Ngày 14/02,Áp dụng cho bàn 2 người trở lên. Đặt bàn trước để nhận ưu đãi tốt nhất.
images/Discount4.jpg,Khuyến mãi - Đánh Giá GG Map Giảm 5%,Đánh Giá Google Maps - Giảm 5%,Chỉ cần để lại đánh giá 5 sao trên Google Maps cho cơ sở bạn dùng bữa - bạn sẽ được giảm ngay 5% tổng hóa đơn! Cảm ơn quý khách đã ủng hộ Fungha Dimsum.,Không giới hạn thời gian,Áp dụng tại tất cả cơ sở. Mỗi khách hàng chỉ được áp dụng 1 lần. Xuất trình đánh giá cho nhân viên trước khi thanh toán.
images/Discount5.jpg,Khuyến mãi - Ông Công Ông Táo,Ưu Đãi Ông Công Ông Táo,Chào đón ngày Ông Công Ông Táo 23 tháng Chạp - Fungha Dimsum gửi tặng ưu đãi đặc biệt! Hãy cùng gia đình thưởng thức bữa tiệc dimsum ấm cúng.,Ngày 23 tháng Chạp Âm lịch,Áp dụng tại tất cả cơ sở. Không áp dụng đồng thời với voucher khác.
images/Discount6.jpg,Khuyến mãi - Tích Điểm Nhận Quà,Tích Điểm & Nhận Quà,Chương trình tích điểm dành cho khách hàng thân thiết! Mỗi hóa đơn từ 200.000đ sẽ được tích 1 điểm. Tích đủ 10 điểm nhận ngay phần quà hấp dẫn từ Fungha Dimsum.,Không giới hạn thời gian,Áp dụng cho tất cả cơ sở. Điểm tích lũy có hiệu lực trong 6 tháng. Không quy đổi thành tiền mặt.
